person,personLabel.x,memberID,member_name,check
http://www.wikidata.org/entity/Q2644798,Alfred Byrne,137,Mr. Alfred Byrne,1
http://www.wikidata.org/entity/Q2645628,Alfred P. Byrne,138,Mr. Alfred Patrick Byrne,1
http://www.wikidata.org/entity/Q2646906,Alice Glenn,466,Mr. Alice Glenn,1
http://www.wikidata.org/entity/Q266969,Frank Fahy,375,Mr. Frank Fahy,1
http://www.wikidata.org/entity/Q273274,Éamon Ó Cuív,129,Mr. Raphael P. (Ray) Burke,0
http://www.wikidata.org/entity/Q273274,Éamon Ó Cuív,852,Mr. Éamon Ó Cuív,1
http://www.wikidata.org/entity/Q278178,Seán Haughey,492,Mr. Sean Haughey,1
http://www.wikidata.org/entity/Q278830,Tony Gregory,476,Mr. Tony Gregory (Deceased),1
http://www.wikidata.org/entity/Q283778,Michael Keyes,589,Mr. Michael Keyes,1
http://www.wikidata.org/entity/Q2975532,Clare Daly,2296,Ms. Clare Daly,1
http://www.wikidata.org/entity/Q3026478,Jim Fitzsimons,412,Mr. James N. Fitzsimons,1
http://www.wikidata.org/entity/Q303304,Charlie McCreevy,709,Mr. Charlie McCreevy,1
http://www.wikidata.org/entity/Q310225,Pat Cox,254,Mr. Pat Cox,1
http://www.wikidata.org/entity/Q310994,Patrick Hillery,519,Dr. Patrick J. Hillery,1
http://www.wikidata.org/entity/Q3265837,Lucinda Creighton,2190,Ms. Lucinda Creighton,1
http://www.wikidata.org/entity/Q327203,Seán T. O'Kelly,905,Mr. Seán T. O'Kelly,1
http://www.wikidata.org/entity/Q3308249,Michael Herbert,508,Mr. Michael Herbert,1
http://www.wikidata.org/entity/Q333701,John Bruton,118,Mr. John Bruton,1
http://www.wikidata.org/entity/Q333735,Charles Haughey,491,Mr. Charles J. Haughey,1
http://www.wikidata.org/entity/Q335783,Michael Conaghan,2291,Mr. Michael Conaghan,1
http://www.wikidata.org/entity/Q3545632,Austin Currie,280,Mr. Austin Currie,1
http://www.wikidata.org/entity/Q356450,Erskine Hamilton Childers,174,Mr. Erskine Hamilton Childers,1
http://www.wikidata.org/entity/Q356460,Dick Spring,1048,Mr. Dick Spring,1
http://www.wikidata.org/entity/Q371007,Ciarán Cannon,2253,Mr. Ciaran Cannon,1
http://www.wikidata.org/entity/Q3744449,Dinny McGinley,728,Mr. Dinny McGinley,1
http://www.wikidata.org/entity/Q3775898,Geraldine Kennedy,576,Ms. Geraldine Kennedy,1
http://www.wikidata.org/entity/Q3777412,John Perry,974,Mr. John Perry,1
